股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Moderna Inc,MRNA,2018-12-07,22.0,18.6,22.75,18.51,12995569,273138160.0,18.43,-19.13,-4.4,3.95
Moderna Inc,MRNA,2018-12-10,18.9,18.8,19.44,18.0,4233345,79162138.0,7.74,1.08,0.2,1.29
Moderna Inc,MRNA,2018-12-11,20.55,18.01,20.66,17.99,3435271,65163211.0,14.2,-4.2,-0.79,1.04
Moderna Inc,MRNA,2018-12-12,18.55,18.68,19.48,18.02,2590873,48115899.0,8.11,3.72,0.67,0.79
Moderna Inc,MRNA,2018-12-13,19.25,18.76,19.29,18.68,1608629,30500657.0,3.27,0.43,0.08,0.49
Moderna Inc,MRNA,2018-12-14,18.75,18.32,18.88,18.25,746412,13773123.0,3.36,-2.35,-0.44,0.23
Moderna Inc,MRNA,2018-12-17,18.33,17.0,18.47,16.9,1581242,27889305.0,8.57,-7.21,-1.32,0.48
Moderna Inc,MRNA,2018-12-18,17.1,17.0,17.25,16.25,1621904,26971428.0,5.88,0.0,0.0,0.49
Moderna Inc,MRNA,2018-12-19,16.86,16.18,17.37,16.0,941528,15623860.0,8.06,-4.82,-0.82,0.29
Moderna Inc,MRNA,2018-12-20,16.0,15.5,16.14,14.75,2365203,36052487.0,8.59,-4.2,-0.68,0.72
Moderna Inc,MRNA,2018-12-21,15.4,14.47,15.5,13.95,2063235,29947731.0,10.0,-6.65,-1.03,0.63
Moderna Inc,MRNA,2018-12-24,14.32,14.03,14.32,13.75,665427,9309456.0,3.94,-3.04,-0.44,0.2
Moderna Inc,MRNA,2018-12-26,14.15,13.52,14.31,13.03,1817977,24621550.0,9.12,-3.64,-0.51,0.55
Moderna Inc,MRNA,2018-12-27,13.49,14.65,14.95,13.27,1769545,25204603.0,12.43,8.36,1.13,0.54
Moderna Inc,MRNA,2018-12-28,14.72,14.15,14.85,13.82,929098,13202872.0,7.03,-3.41,-0.5,0.28
Moderna Inc,MRNA,2018-12-31,14.24,15.27,15.3,14.21,994726,14565379.0,7.7,7.92,1.12,0.3
Moderna Inc,MRNA,2019-01-02,14.93,15.33,15.45,14.51,2318094,34655599.0,6.16,0.39,0.06,0.71
Moderna Inc,MRNA,2019-01-03,15.49,15.5,16.08,15.2,1588921,24794496.0,5.74,1.11,0.17,0.48
Moderna Inc,MRNA,2019-01-04,16.0,16.96,17.5,15.89,1652033,27635198.0,10.39,9.42,1.46,0.5
Moderna Inc,MRNA,2019-01-07,17.54,16.27,17.94,16.18,1585442,27185901.0,10.38,-4.07,-0.69,0.48
Moderna Inc,MRNA,2019-01-08,17.35,16.95,17.47,16.05,1892977,31603255.0,8.73,4.18,0.68,0.58
Moderna Inc,MRNA,2019-01-09,17.2,16.33,17.25,16.15,1187350,19678064.0,6.49,-3.66,-0.62,0.36
Moderna Inc,MRNA,2019-01-10,16.36,16.48,16.51,16.0,487284,7958624.0,3.12,0.92,0.15,0.15
Moderna Inc,MRNA,2019-01-11,16.6,17.0,17.06,16.53,580570,9829817.0,3.22,3.16,0.52,0.18
Moderna Inc,MRNA,2019-01-14,17.0,16.74,17.06,16.72,612922,10352291.0,2.0,-1.53,-0.26,0.19
Moderna Inc,MRNA,2019-01-15,17.0,16.59,17.0,16.41,468080,7789567.0,3.52,-0.9,-0.15,0.14
Moderna Inc,MRNA,2019-01-16,16.8,16.26,16.95,16.26,272804,4493843.0,4.16,-1.99,-0.33,0.08
Moderna Inc,MRNA,2019-01-17,16.05,16.31,16.53,16.05,315678,5170250.0,2.95,0.31,0.05,0.1
Moderna Inc,MRNA,2019-01-18,16.46,16.69,16.8,16.25,629965,10458342.0,3.37,2.33,0.38,0.19
Moderna Inc,MRNA,2019-01-22,16.62,15.56,16.63,15.35,637008,10118970.0,7.67,-6.77,-1.13,0.19
Moderna Inc,MRNA,2019-01-23,15.59,14.79,15.92,14.76,652602,9823178.0,7.46,-4.95,-0.77,0.2
Moderna Inc,MRNA,2019-01-24,14.9,14.64,15.2,14.64,452909,6728018.0,3.79,-1.01,-0.15,0.14
Moderna Inc,MRNA,2019-01-25,14.8,14.91,14.92,14.4,942270,13755137.0,3.55,1.84,0.27,0.29
Moderna Inc,MRNA,2019-01-28,14.84,14.45,14.84,14.45,656524,9543594.0,2.62,-3.09,-0.46,0.2
Moderna Inc,MRNA,2019-01-29,14.46,14.63,14.88,14.45,592755,8663905.0,2.98,1.25,0.18,0.18
Moderna Inc,MRNA,2019-01-30,14.72,15.13,15.55,14.65,758899,11468795.0,6.15,3.42,0.5,0.23
Moderna Inc,MRNA,2019-01-31,15.24,16.6,17.48,15.24,2259191,37788196.0,14.81,9.72,1.47,0.69
Moderna Inc,MRNA,2019-02-01,16.8,16.22,17.01,15.9,617271,10128640.0,6.69,-2.29,-0.38,0.19
Moderna Inc,MRNA,2019-02-04,16.22,16.27,16.49,15.95,297821,4827055.0,3.33,0.31,0.05,0.09
Moderna Inc,MRNA,2019-02-05,16.29,17.18,17.49,16.21,652724,11140999.0,7.87,5.59,0.91,0.2
Moderna Inc,MRNA,2019-02-06,17.25,18.14,18.39,17.11,1016165,18255070.0,7.45,5.59,0.96,0.31
Moderna Inc,MRNA,2019-02-07,17.95,17.05,18.07,17.04,527579,9188003.0,5.68,-6.01,-1.09,0.16
Moderna Inc,MRNA,2019-02-08,17.1,17.99,18.15,17.1,685755,12135428.0,6.16,5.51,0.94,0.21
Moderna Inc,MRNA,2019-02-11,17.99,18.17,18.65,17.75,597966,10866973.0,5.0,1.0,0.18,0.18
Moderna Inc,MRNA,2019-02-12,18.21,18.69,18.76,17.6,753128,13835406.0,6.38,2.86,0.52,0.23
Moderna Inc,MRNA,2019-02-13,18.99,18.53,19.22,18.3,1333533,24881547.0,4.92,-0.86,-0.16,0.41
Moderna Inc,MRNA,2019-02-14,18.64,19.66,19.96,18.63,1091396,21103303.0,7.18,6.1,1.13,0.33
Moderna Inc,MRNA,2019-02-15,19.94,21.44,21.47,19.7,2087409,43349940.0,9.0,9.05,1.78,0.63
Moderna Inc,MRNA,2019-02-19,21.51,20.83,21.51,20.05,1204705,24963335.0,6.81,-2.85,-0.61,0.37
Moderna Inc,MRNA,2019-02-20,21.12,19.92,21.24,19.13,1160160,23168400.0,10.13,-4.37,-0.91,0.35
Moderna Inc,MRNA,2019-02-21,19.74,19.34,19.98,18.88,822625,15941165.0,5.52,-2.91,-0.58,0.25
Moderna Inc,MRNA,2019-02-22,19.35,19.88,20.04,19.35,567612,11248127.0,3.57,2.79,0.54,0.17
Moderna Inc,MRNA,2019-02-25,20.54,21.65,22.3,19.83,1917872,40381470.0,12.42,8.9,1.77,0.58
Moderna Inc,MRNA,2019-02-26,21.6,23.7,24.4,21.56,2522800,58787425.0,13.12,9.47,2.05,0.77
Moderna Inc,MRNA,2019-02-27,23.37,22.1,23.83,21.53,1553011,35230574.0,9.7,-6.75,-1.6,0.47
Moderna Inc,MRNA,2019-02-28,22.45,22.6,23.03,22.05,511289,11579887.0,4.43,2.26,0.5,0.16
Moderna Inc,MRNA,2019-03-01,23.09,22.27,23.39,21.64,867388,19588176.0,7.74,-1.46,-0.33,0.26
Moderna Inc,MRNA,2019-03-04,22.47,21.12,22.8,20.52,1134144,24325775.0,10.24,-5.16,-1.15,0.34
Moderna Inc,MRNA,2019-03-05,21.18,21.37,21.49,20.29,1086443,22852712.0,5.68,1.18,0.25,0.33
Moderna Inc,MRNA,2019-03-06,21.4,20.65,22.05,20.06,1061369,21966072.0,9.31,-3.37,-0.72,0.32
Moderna Inc,MRNA,2019-03-07,20.42,20.59,21.16,19.61,1018084,20868962.0,7.51,-0.29,-0.06,0.31
Moderna Inc,MRNA,2019-03-08,20.37,20.93,21.08,19.9,631133,13028488.0,5.73,1.65,0.34,0.19
Moderna Inc,MRNA,2019-03-11,20.99,20.43,20.99,19.97,915642,18697818.0,4.87,-2.39,-0.5,0.28
Moderna Inc,MRNA,2019-03-12,20.52,19.26,20.89,19.12,1627932,32111053.0,8.66,-5.73,-1.17,0.49
Moderna Inc,MRNA,2019-03-13,19.3,19.97,20.25,19.23,756588,14983042.0,5.3,3.69,0.71,0.23
Moderna Inc,MRNA,2019-03-14,19.92,20.82,21.0,19.92,883581,18144457.0,5.41,4.26,0.85,0.27
Moderna Inc,MRNA,2019-03-15,20.99,21.82,22.19,20.89,2686871,58490394.0,6.24,4.8,1.0,0.82
Moderna Inc,MRNA,2019-03-18,21.74,22.18,22.22,21.22,1245672,27132707.0,4.58,1.65,0.36,0.38
Moderna Inc,MRNA,2019-03-19,22.47,20.35,22.6,20.18,976101,20540263.0,10.91,-8.25,-1.83,0.3
Moderna Inc,MRNA,2019-03-20,20.41,20.0,20.98,19.9,985298,19844620.0,5.31,-1.72,-0.35,0.3
Moderna Inc,MRNA,2019-03-21,20.0,19.34,20.25,19.21,860506,16916304.0,5.2,-3.3,-0.66,0.26
Moderna Inc,MRNA,2019-03-22,19.38,19.0,19.7,18.75,579495,11073310.0,4.91,-1.76,-0.34,0.18
Moderna Inc,MRNA,2019-03-25,19.0,19.4,19.59,18.21,671669,12764765.0,7.26,2.11,0.4,0.2
Moderna Inc,MRNA,2019-03-26,19.61,19.9,19.94,19.24,393884,7714951.0,3.61,2.58,0.5,0.12
Moderna Inc,MRNA,2019-03-27,20.08,19.27,20.08,18.89,602641,11636227.0,5.98,-3.17,-0.63,0.18
Moderna Inc,MRNA,2019-03-28,19.3,19.66,19.74,19.0,453586,8796020.0,3.84,2.02,0.39,0.14
Moderna Inc,MRNA,2019-03-29,19.87,20.35,20.8,19.47,660854,13393801.0,6.77,3.51,0.69,0.2
Moderna Inc,MRNA,2019-04-01,20.54,20.59,20.92,20.04,547566,11169509.0,4.32,1.18,0.24,0.17
Moderna Inc,MRNA,2019-04-02,20.68,19.7,20.68,19.54,546568,10961235.0,5.54,-4.32,-0.89,0.17
Moderna Inc,MRNA,2019-04-03,19.92,21.33,21.67,19.81,909317,18927901.0,9.44,8.27,1.63,0.28
Moderna Inc,MRNA,2019-04-04,21.12,23.08,23.18,21.04,1705896,38541028.0,10.03,8.2,1.75,0.52
Moderna Inc,MRNA,2019-04-05,23.8,25.96,26.23,22.66,1978459,48504735.0,15.47,12.48,2.88,0.6
Moderna Inc,MRNA,2019-04-08,25.9,27.23,29.79,25.6,2673297,74766861.0,16.14,4.89,1.27,0.81
Moderna Inc,MRNA,2019-04-09,27.3,26.82,28.4,26.31,1051702,28568752.0,7.68,-1.51,-0.41,0.32
Moderna Inc,MRNA,2019-04-10,26.9,26.8,27.74,26.5,639414,17334418.0,4.62,-0.07,-0.02,0.19
Moderna Inc,MRNA,2019-04-11,26.82,25.73,26.99,24.26,1030056,26182470.0,10.19,-3.99,-1.07,0.31
Moderna Inc,MRNA,2019-04-12,26.0,24.61,26.05,24.27,708634,17688820.0,6.92,-4.35,-1.12,0.22
Moderna Inc,MRNA,2019-04-15,24.99,25.84,25.94,24.62,636494,16241383.0,5.36,5.0,1.23,0.19
Moderna Inc,MRNA,2019-04-16,26.0,23.78,26.22,23.65,964841,23703280.0,9.95,-7.97,-2.06,0.29
Moderna Inc,MRNA,2019-04-17,24.0,23.5,24.12,22.31,918561,21247611.0,7.61,-1.18,-0.28,0.28
Moderna Inc,MRNA,2019-04-18,23.47,22.51,23.5,22.43,736355,16685081.0,4.55,-4.21,-0.99,0.22
Moderna Inc,MRNA,2019-04-22,22.7,23.63,23.99,22.51,494149,11623655.0,6.57,4.98,1.12,0.15
Moderna Inc,MRNA,2019-04-23,23.73,24.7,24.98,23.73,617759,15205075.0,5.29,4.53,1.07,0.19
Moderna Inc,MRNA,2019-04-24,24.8,25.76,25.76,24.29,702199,17664852.0,5.95,4.29,1.06,0.21
Moderna Inc,MRNA,2019-04-25,25.76,25.74,26.72,25.43,603274,15698628.0,5.01,-0.08,-0.02,0.18
Moderna Inc,MRNA,2019-04-26,25.83,26.26,27.3,25.69,593558,15807647.0,6.25,2.02,0.52,0.18
Moderna Inc,MRNA,2019-04-29,26.28,25.14,27.2,24.97,1057858,27659486.0,8.49,-4.27,-1.12,0.32
Moderna Inc,MRNA,2019-04-30,25.28,26.03,26.03,25.0,620718,15926954.0,4.1,3.54,0.89,0.19
Moderna Inc,MRNA,2019-05-01,26.31,26.4,27.09,25.87,1121529,29694942.0,4.69,1.42,0.37,0.34
Moderna Inc,MRNA,2019-05-02,26.33,28.34,28.49,26.19,1079697,29843039.0,8.71,7.35,1.94,0.33
Moderna Inc,MRNA,2019-05-03,28.89,27.2,28.95,26.85,837921,23171899.0,7.41,-4.02,-1.14,0.25
Moderna Inc,MRNA,2019-05-06,26.38,27.1,27.81,26.25,667204,18204807.0,5.74,-0.37,-0.1,0.2
Moderna Inc,MRNA,2019-05-07,27.18,24.55,27.26,24.16,1061288,26813100.0,11.44,-9.41,-2.55,0.32
Moderna Inc,MRNA,2019-05-08,23.7,23.54,26.0,23.53,1023854,24882867.0,10.06,-4.11,-1.01,0.31
Moderna Inc,MRNA,2019-05-09,23.5,23.26,24.0,22.75,523118,12121691.0,5.31,-1.19,-0.28,0.16
Moderna Inc,MRNA,2019-05-10,23.04,24.92,24.93,22.8,536230,12799612.0,9.16,7.14,1.66,0.16
Moderna Inc,MRNA,2019-05-13,24.46,24.43,24.77,23.23,491784,11878317.0,6.18,-1.97,-0.49,0.15
Moderna Inc,MRNA,2019-05-14,24.5,23.59,24.89,23.57,473926,11414641.0,5.4,-3.44,-0.84,0.14
Moderna Inc,MRNA,2019-05-15,23.46,23.12,23.84,22.81,847323,19783228.0,4.37,-1.99,-0.47,0.26
Moderna Inc,MRNA,2019-05-16,23.5,23.46,24.05,23.15,536569,12656477.0,3.89,1.47,0.34,0.16
Moderna Inc,MRNA,2019-05-17,23.31,23.08,23.43,21.68,1275232,28813570.0,7.46,-1.62,-0.38,0.39
Moderna Inc,MRNA,2019-05-20,22.85,22.6,23.6,22.55,553004,12743264.0,4.55,-2.08,-0.48,0.17
Moderna Inc,MRNA,2019-05-21,22.65,22.7,23.16,22.43,475913,10860118.0,3.23,0.44,0.1,0.14
Moderna Inc,MRNA,2019-05-22,22.65,22.0,22.77,21.93,569589,12633336.0,3.7,-3.08,-0.7,0.17
Moderna Inc,MRNA,2019-05-23,21.75,21.38,21.94,21.01,739551,15823952.0,4.23,-2.82,-0.62,0.22
Moderna Inc,MRNA,2019-05-24,21.56,21.83,22.0,21.41,743997,16178773.0,2.76,2.1,0.45,0.23
Moderna Inc,MRNA,2019-05-28,22.3,21.54,22.46,21.44,616013,13356667.0,4.67,-1.33,-0.29,0.19
Moderna Inc,MRNA,2019-05-29,21.71,21.7,21.9,21.16,490742,10600426.0,3.44,0.74,0.16,0.15
Moderna Inc,MRNA,2019-05-30,21.84,21.49,21.9,21.05,361293,7731627.0,3.92,-0.97,-0.21,0.11
Moderna Inc,MRNA,2019-05-31,21.16,20.78,21.38,20.74,443530,9294157.0,2.98,-3.3,-0.71,0.13
Moderna Inc,MRNA,2019-06-03,20.79,19.85,20.99,18.82,1031947,20416896.0,10.44,-4.48,-0.93,0.31
Moderna Inc,MRNA,2019-06-04,19.76,19.47,20.74,19.23,1077687,21289166.0,7.61,-1.91,-0.38,0.33
Moderna Inc,MRNA,2019-06-05,19.2,17.7,19.2,17.2,5046143,90843720.0,10.27,-9.09,-1.77,1.53
Moderna Inc,MRNA,2019-06-06,17.83,17.94,18.92,17.61,6066383,108475922.0,7.4,1.36,0.24,1.84
Moderna Inc,MRNA,2019-06-07,17.71,17.52,18.4,17.3,1892799,33787437.0,6.13,-2.34,-0.42,0.58
Moderna Inc,MRNA,2019-06-10,17.85,15.67,17.99,15.67,2574686,42684305.0,13.24,-10.56,-1.85,0.78
Moderna Inc,MRNA,2019-06-11,16.09,16.0,16.88,15.75,5614358,90581576.0,7.21,2.11,0.33,1.71
Moderna Inc,MRNA,2019-06-12,16.11,16.3,16.36,15.62,2042477,32663346.0,4.63,1.88,0.3,0.62
Moderna Inc,MRNA,2019-06-13,16.42,16.16,17.59,16.05,1607294,26601286.0,9.45,-0.86,-0.14,0.49
Moderna Inc,MRNA,2019-06-14,16.25,15.4,16.68,15.32,2080053,32724666.0,8.42,-4.7,-0.76,0.63
Moderna Inc,MRNA,2019-06-17,15.54,15.77,15.85,15.28,1220436,19076077.0,3.7,2.4,0.37,0.37
Moderna Inc,MRNA,2019-06-18,15.9,15.74,16.19,15.58,1120185,17710066.0,3.87,-0.19,-0.03,0.34
Moderna Inc,MRNA,2019-06-19,15.75,15.5,16.3,15.37,2831087,44855268.0,5.91,-1.52,-0.24,0.86
Moderna Inc,MRNA,2019-06-20,15.85,15.18,15.94,14.86,1605381,24431980.0,6.97,-2.06,-0.32,0.49
Moderna Inc,MRNA,2019-06-21,15.2,14.7,15.32,14.5,2115818,31210574.0,5.4,-3.16,-0.48,0.64
Moderna Inc,MRNA,2019-06-24,14.41,14.04,14.69,14.02,1327256,18901010.0,4.56,-4.49,-0.66,0.4
Moderna Inc,MRNA,2019-06-25,14.11,13.77,14.25,13.65,1936251,26923319.0,4.27,-1.92,-0.27,0.59
Moderna Inc,MRNA,2019-06-26,13.92,13.7,14.18,13.65,1112795,15435592.0,3.85,-0.51,-0.07,0.34
Moderna Inc,MRNA,2019-06-27,13.5,14.34,14.41,13.5,1724611,24368966.0,6.64,4.67,0.64,0.52
Moderna Inc,MRNA,2019-06-28,14.41,14.64,14.64,14.11,1657027,23895365.0,3.7,2.09,0.3,0.5
Moderna Inc,MRNA,2019-07-01,14.86,14.73,15.08,14.47,1135482,16802886.0,4.17,0.61,0.09,0.34
Moderna Inc,MRNA,2019-07-02,14.71,14.4,14.71,14.0,1202267,17218372.0,4.82,-2.24,-0.33,0.36
Moderna Inc,MRNA,2019-07-03,14.5,15.31,15.33,14.4,954475,14303195.0,6.46,6.32,0.91,0.29
Moderna Inc,MRNA,2019-07-05,15.47,14.96,15.47,14.83,970638,14595345.0,4.18,-2.29,-0.35,0.29
Moderna Inc,MRNA,2019-07-08,14.89,14.29,14.9,14.14,938422,13459481.0,5.08,-4.48,-0.67,0.28
Moderna Inc,MRNA,2019-07-09,14.31,14.85,14.85,14.15,739829,10806214.0,4.9,3.92,0.56,0.22
Moderna Inc,MRNA,2019-07-10,14.94,14.48,15.22,14.05,1770209,25600584.0,7.88,-2.49,-0.37,0.54
Moderna Inc,MRNA,2019-07-11,14.56,14.44,14.7,14.12,1135170,16224942.0,4.01,-0.28,-0.04,0.34
Moderna Inc,MRNA,2019-07-12,14.27,14.2,14.48,14.06,1084328,15491547.0,2.91,-1.66,-0.24,0.33
Moderna Inc,MRNA,2019-07-15,14.28,14.32,14.46,14.0,727620,10338184.0,3.24,0.85,0.12,0.22
Moderna Inc,MRNA,2019-07-16,14.32,14.14,14.48,14.0,1111014,15669231.0,3.35,-1.26,-0.18,0.34
Moderna Inc,MRNA,2019-07-17,14.17,14.03,14.59,14.0,1202450,17048972.0,4.17,-0.78,-0.11,0.36
Moderna Inc,MRNA,2019-07-18,14.09,14.26,14.28,13.9,756865,10657353.0,2.71,1.64,0.23,0.23
Moderna Inc,MRNA,2019-07-19,14.29,14.11,14.4,14.01,1042632,14782087.0,2.73,-1.05,-0.15,0.32
Moderna Inc,MRNA,2019-07-22,14.22,14.05,14.32,13.91,1058910,14877709.0,2.91,-0.43,-0.06,0.32
Moderna Inc,MRNA,2019-07-23,14.06,13.6,14.13,13.12,2053347,27711265.0,7.19,-3.2,-0.45,0.62
Moderna Inc,MRNA,2019-07-24,13.75,14.47,14.52,13.47,1167362,16488788.0,7.72,6.4,0.87,0.35
Moderna Inc,MRNA,2019-07-25,14.51,13.51,14.65,13.5,895579,12408217.0,7.95,-6.63,-0.96,0.27
Moderna Inc,MRNA,2019-07-26,13.59,14.12,14.18,13.36,669060,9237597.0,6.07,4.52,0.61,0.2
Moderna Inc,MRNA,2019-07-29,14.17,13.69,14.33,13.56,1049628,14381770.0,5.45,-3.05,-0.43,0.32
Moderna Inc,MRNA,2019-07-30,13.61,13.4,13.76,13.29,929543,12450675.0,3.43,-2.12,-0.29,0.28
Moderna Inc,MRNA,2019-07-31,13.42,13.1,13.51,13.04,1087643,14437552.0,3.51,-2.24,-0.3,0.33
Moderna Inc,MRNA,2019-08-01,13.2,13.01,13.4,12.71,1502334,19368111.0,5.27,-0.69,-0.09,0.46
Moderna Inc,MRNA,2019-08-02,13.0,12.73,13.04,12.4,1180381,14924616.0,4.92,-2.15,-0.28,0.36
Moderna Inc,MRNA,2019-08-05,12.55,12.26,12.69,12.2,1038153,12820606.0,3.85,-3.69,-0.47,0.31
Moderna Inc,MRNA,2019-08-06,12.5,12.29,12.87,11.9,2007725,24402495.0,7.91,0.24,0.03,0.61
Moderna Inc,MRNA,2019-08-07,12.26,12.85,14.5,11.54,3003267,40085535.0,24.08,4.56,0.56,0.91
Moderna Inc,MRNA,2019-08-08,12.91,13.19,13.3,12.3,1500881,19322073.0,7.78,2.65,0.34,0.45
Moderna Inc,MRNA,2019-08-09,13.14,13.33,13.55,12.97,745194,9859374.0,4.4,1.06,0.14,0.23
Moderna Inc,MRNA,2019-08-12,13.42,13.02,13.68,12.98,780306,10340112.0,5.25,-2.33,-0.31,0.24
Moderna Inc,MRNA,2019-08-13,13.0,13.3,13.4,12.76,558994,7383353.0,4.92,2.15,0.28,0.17
Moderna Inc,MRNA,2019-08-14,13.08,12.74,13.22,12.5,1362976,17482236.0,5.41,-4.21,-0.56,0.41
Moderna Inc,MRNA,2019-08-15,12.72,12.67,12.95,12.47,1162846,14800085.0,3.77,-0.55,-0.07,0.35
Moderna Inc,MRNA,2019-08-16,12.85,13.16,13.24,12.79,1105105,14386345.0,3.55,3.87,0.49,0.33
Moderna Inc,MRNA,2019-08-19,13.25,13.4,13.5,13.02,1955457,25942065.0,3.65,1.82,0.24,0.59
Moderna Inc,MRNA,2019-08-20,13.87,14.15,14.65,13.6,3367012,47749631.0,7.84,5.6,0.75,1.02
Moderna Inc,MRNA,2019-08-21,14.25,14.29,14.41,13.76,1417709,20120429.0,4.59,0.99,0.14,0.43
Moderna Inc,MRNA,2019-08-22,14.37,14.16,14.43,14.04,1023419,14518478.0,2.73,-0.91,-0.13,0.31
Moderna Inc,MRNA,2019-08-23,14.08,13.88,14.36,13.83,1501049,21178385.0,3.74,-1.98,-0.28,0.45
Moderna Inc,MRNA,2019-08-26,14.01,14.97,15.38,14.0,3153425,47084158.0,9.94,7.85,1.09,0.96
Moderna Inc,MRNA,2019-08-27,15.17,14.51,15.5,14.12,2720189,40091449.0,9.22,-3.07,-0.46,0.82
Moderna Inc,MRNA,2019-08-28,14.51,14.82,15.04,14.38,1451650,21450068.0,4.55,2.14,0.31,0.44
Moderna Inc,MRNA,2019-08-29,14.91,15.18,15.2,14.61,1684181,25250610.0,3.98,2.43,0.36,0.51
Moderna Inc,MRNA,2019-08-30,15.3,15.73,15.75,15.2,1601551,24945485.0,3.62,3.62,0.55,0.49
Moderna Inc,MRNA,2019-09-03,16.1,14.88,16.5,14.35,2508895,37779784.0,13.67,-5.4,-0.85,0.76
Moderna Inc,MRNA,2019-09-04,15.11,15.42,15.59,14.8,1555729,23717511.0,5.31,3.63,0.54,0.47
Moderna Inc,MRNA,2019-09-05,15.65,15.53,16.13,15.02,1394529,21760044.0,7.2,0.71,0.11,0.42
Moderna Inc,MRNA,2019-09-06,15.56,15.88,16.18,15.14,2042503,32424332.0,6.7,2.25,0.35,0.62
Moderna Inc,MRNA,2019-09-09,15.98,16.03,16.23,15.36,2311752,36826582.0,5.48,0.94,0.15,0.7
Moderna Inc,MRNA,2019-09-10,16.06,17.09,17.34,15.97,3077421,52191369.0,8.55,6.61,1.06,0.93
Moderna Inc,MRNA,2019-09-11,17.34,15.92,17.59,15.89,3590692,58764700.0,9.95,-6.85,-1.17,1.09
Moderna Inc,MRNA,2019-09-12,16.23,16.4,18.46,16.2,8290874,144466474.0,14.2,3.02,0.48,2.51
Moderna Inc,MRNA,2019-09-13,16.45,16.71,17.04,16.06,3162383,52847342.0,5.98,1.89,0.31,0.96
Moderna Inc,MRNA,2019-09-16,16.73,17.05,17.31,16.69,3053899,52356051.0,3.71,2.03,0.34,0.92
Moderna Inc,MRNA,2019-09-17,17.46,17.66,17.95,17.19,5239640,92273328.0,4.46,3.58,0.61,1.59
Moderna Inc,MRNA,2019-09-18,17.77,17.78,18.0,17.35,5834569,103342781.0,3.68,0.68,0.12,1.77
Moderna Inc,MRNA,2019-09-19,17.71,17.9,18.42,17.62,5866926,105587817.0,4.5,0.67,0.12,1.78
Moderna Inc,MRNA,2019-09-20,18.14,18.07,18.39,17.75,25237508,455713120.0,3.58,0.95,0.17,7.64
Moderna Inc,MRNA,2019-09-23,18.24,17.83,18.48,17.56,4861272,86937881.0,5.09,-1.33,-0.24,1.47
Moderna Inc,MRNA,2019-09-24,17.83,17.82,17.99,17.25,5213302,92576533.0,4.15,-0.06,-0.01,1.58
Moderna Inc,MRNA,2019-09-25,17.71,17.18,17.71,17.1,3045069,52748454.0,3.42,-3.59,-0.64,0.92
Moderna Inc,MRNA,2019-09-26,17.41,16.34,17.51,16.14,4449091,73859091.0,7.97,-4.89,-0.84,1.35
Moderna Inc,MRNA,2019-09-27,16.29,15.9,16.54,15.68,2309047,37072679.0,5.26,-2.69,-0.44,0.7
Moderna Inc,MRNA,2019-09-30,15.79,15.92,16.27,15.67,1532173,24399403.0,3.77,0.13,0.02,0.46
Moderna Inc,MRNA,2019-10-01,15.87,14.81,16.06,14.8,1544925,23556600.0,7.91,-6.97,-1.11,0.46
Moderna Inc,MRNA,2019-10-02,14.78,14.86,15.01,14.42,1783307,26380798.0,3.98,0.34,0.05,0.54
Moderna Inc,MRNA,2019-10-03,15.24,15.07,15.24,14.41,1464168,21717992.0,5.59,1.41,0.21,0.44
Moderna Inc,MRNA,2019-10-04,15.05,15.51,15.57,14.89,1022019,15619866.0,4.51,2.92,0.44,0.31
Moderna Inc,MRNA,2019-10-07,15.45,15.47,15.63,15.07,1373936,21169135.0,3.61,-0.26,-0.04,0.41
Moderna Inc,MRNA,2019-10-08,15.36,15.31,15.48,15.01,1226190,18685416.0,3.04,-1.03,-0.16,0.37
Moderna Inc,MRNA,2019-10-09,15.33,14.2,15.55,14.18,2386365,34850354.0,8.95,-7.25,-1.11,0.72
Moderna Inc,MRNA,2019-10-10,14.13,14.16,14.41,13.87,1345771,19027232.0,3.8,-0.28,-0.04,0.4
Moderna Inc,MRNA,2019-10-11,14.24,14.06,14.7,13.99,941288,13486515.0,5.01,-0.71,-0.1,0.28
Moderna Inc,MRNA,2019-10-14,14.19,13.93,14.27,13.67,960535,13418605.0,4.27,-0.92,-0.13,0.29
Moderna Inc,MRNA,2019-10-15,13.93,14.33,14.45,13.53,1157446,16415947.0,6.6,2.87,0.4,0.35
Moderna Inc,MRNA,2019-10-16,14.27,14.15,14.32,14.02,915084,12981550.0,2.09,-1.26,-0.18,0.28
Moderna Inc,MRNA,2019-10-17,14.23,14.54,14.72,14.15,1033914,15073552.0,4.03,2.76,0.39,0.31
Moderna Inc,MRNA,2019-10-18,14.5,14.81,14.85,14.07,1596568,23307386.0,5.36,1.86,0.27,0.48
Moderna Inc,MRNA,2019-10-21,14.9,15.5,15.59,14.66,931443,14262564.0,6.28,4.66,0.69,0.28
Moderna Inc,MRNA,2019-10-22,15.56,15.92,16.09,15.55,594156,9421883.0,3.48,2.71,0.42,0.18
Moderna Inc,MRNA,2019-10-23,16.16,16.9,17.01,16.09,1512239,25331174.0,5.78,6.16,0.98,0.45
Moderna Inc,MRNA,2019-10-24,16.92,16.59,17.03,16.05,1112146,18243632.0,5.8,-1.83,-0.31,0.33
