股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
致远互联,688369,2019-10-31,49.19,50.47,55.91,47.7,135409,1048891798.0,25.65,57.67,18.46,76.68
致远互联,688369,2019-11-01,48.88,47.49,52.47,45.96,80437,600341725.0,12.9,-5.9,-2.98,45.55
致远互联,688369,2019-11-04,48.19,46.61,48.52,46.1,51113,369345352.0,5.1,-1.85,-0.88,28.95
致远互联,688369,2019-11-05,45.84,42.22,45.85,41.89,55591,370159573.0,8.5,-9.42,-4.39,31.48
致远互联,688369,2019-11-06,41.88,41.81,43.38,41.48,26641,172081223.0,4.5,-0.97,-0.41,15.09
致远互联,688369,2019-11-07,41.88,43.76,45.41,41.85,45391,302891310.0,8.51,4.66,1.95,25.7
致远互联,688369,2019-11-08,43.34,43.09,45.83,42.95,37161,251171090.0,6.58,-1.53,-0.67,21.04
致远互联,688369,2019-11-11,43.09,42.68,44.66,42.25,28336,187847896.0,5.59,-0.95,-0.41,16.05
致远互联,688369,2019-11-12,43.19,41.06,44.16,40.64,31970,208592457.0,8.25,-3.8,-1.62,18.1
致远互联,688369,2019-11-13,41.48,43.29,43.29,40.95,30067,194238209.0,5.7,5.43,2.23,17.03
致远互联,688369,2019-11-14,43.49,42.35,43.69,42.24,30128,197940447.0,3.35,-2.17,-0.94,17.06
致远互联,688369,2019-11-15,41.77,40.27,41.84,40.19,27643,173296821.0,3.9,-4.91,-2.08,15.65
致远互联,688369,2019-11-18,40.85,40.54,41.1,39.92,18152,112352428.0,2.93,0.67,0.27,10.28
致远互联,688369,2019-11-19,40.67,41.3,41.38,40.21,17934,112070250.0,2.89,1.87,0.76,10.16
致远互联,688369,2019-11-20,41.14,39.77,41.34,39.33,22272,137500652.0,4.87,-3.7,-1.53,12.61
致远互联,688369,2019-11-21,39.19,39.13,39.64,38.86,15658,93939724.0,1.96,-1.61,-0.64,8.87
致远互联,688369,2019-11-22,39.13,37.41,39.58,37.04,21013,122829683.0,6.49,-4.4,-1.72,11.9
致远互联,688369,2019-11-25,37.41,35.78,37.45,35.52,18692,103887559.0,5.16,-4.36,-1.63,10.59
致远互联,688369,2019-11-26,35.85,35.52,36.21,35.32,11376,62480932.0,2.49,-0.73,-0.26,6.44
致远互联,688369,2019-11-27,35.76,35.91,36.03,35.43,9432,51870429.0,1.69,1.1,0.39,5.34
致远互联,688369,2019-11-28,35.9,36.72,38.28,35.72,25163,144394650.0,7.13,2.26,0.81,14.25
致远互联,688369,2019-11-29,36.77,36.79,36.95,36.32,12721,71638111.0,1.72,0.19,0.07,7.2
致远互联,688369,2019-12-02,36.91,36.68,37.08,36.38,8748,49343145.0,1.9,-0.3,-0.11,4.95
致远互联,688369,2019-12-03,36.51,35.56,36.51,34.93,13513,74054090.0,4.31,-3.05,-1.12,7.65
致远互联,688369,2019-12-04,35.23,35.48,35.95,35.16,6778,37118178.0,2.22,-0.22,-0.08,3.84
致远互联,688369,2019-12-05,35.64,35.71,35.93,35.34,7879,43154088.0,1.66,0.65,0.23,4.46
致远互联,688369,2019-12-06,35.76,35.51,36.38,35.44,6764,37238714.0,2.63,-0.56,-0.2,3.83
致远互联,688369,2019-12-09,35.84,36.85,36.85,35.64,13978,77876184.0,3.41,3.77,1.34,7.92
致远互联,688369,2019-12-10,37.11,38.28,39.4,36.63,29837,174925237.0,7.52,3.88,1.43,16.9
致远互联,688369,2019-12-11,37.79,36.98,38.36,36.93,16774,96341684.0,3.74,-3.4,-1.3,9.5
致远互联,688369,2019-12-12,37.37,38.11,39.66,37.36,27951,165593659.0,6.22,3.06,1.13,15.83
致远互联,688369,2019-12-13,38.32,38.26,38.42,37.49,13921,80940039.0,2.44,0.39,0.15,7.88
致远互联,688369,2019-12-16,38.17,38.87,38.99,37.91,12244,72476791.0,2.82,1.59,0.61,6.93
致远互联,688369,2019-12-17,38.66,38.91,39.38,38.39,14946,89048678.0,2.55,0.1,0.04,8.46
致远互联,688369,2019-12-18,39.26,40.94,41.17,39.26,27830,171213755.0,4.91,5.22,2.03,15.76
致远互联,688369,2019-12-19,40.67,40.09,40.67,39.46,15099,92645919.0,2.96,-2.08,-0.85,8.55
致远互联,688369,2019-12-20,40.13,39.77,40.93,39.71,14130,86992628.0,3.04,-0.8,-0.32,8.0
致远互联,688369,2019-12-23,39.73,37.58,39.73,37.52,16367,96085994.0,5.56,-5.51,-2.19,9.27
致远互联,688369,2019-12-24,37.79,38.29,38.32,37.73,8445,49323783.0,1.57,1.89,0.71,4.78
致远互联,688369,2019-12-25,38.03,38.66,39.32,37.96,12220,72610613.0,3.55,0.97,0.37,6.92
